"setting","spec","check_type","group","item","target","calibrated","error","pass"
"Setting I","balanced_small","coefficient","psi1","Q3_A1",0.23,0.335073169811089,0.105073169811089,FALSE
"Setting I","balanced_small","coefficient","psi1","Q2_A1",0.17,0.252965701078144,0.0829657010781437,FALSE
"Setting I","balanced_small","difference","psi1","Q3_A1 - Q2_A1",0.06,0.0821074687329452,0.0221074687329452,FALSE
"Setting I","balanced_small","coefficient","psi2","Q3_A3",-0.57,-0.436610495777437,0.133389504222563,FALSE
"Setting I","balanced_small","coefficient","psi2","Q2_A2",-0.63,-0.432254551237101,0.197745448762899,FALSE
"Setting I","balanced_small","difference","psi2","Q3_A3 - Q2_A2",0.0600000000000001,-0.00435594454033622,-0.0643559445403363,FALSE
"Setting I","balanced_small","coefficient","psi3","Q3_A1A3",0.83,0.584926830188911,-0.24507316981109,FALSE
"Setting I","balanced_small","coefficient","psi3","Q2_A1A2",0.77,0.697265435408871,-0.0727345645911291,FALSE
"Setting I","balanced_small","difference","psi3","Q3_A1A3 - Q2_A1A2",0.0600000000000001,-0.11233860521996,-0.17233860521996,FALSE
"Setting I","tighter_small","coefficient","psi1","Q3_A1",0.175,0.32,0.145,FALSE
"Setting I","tighter_small","coefficient","psi1","Q2_A1",0.145,0.308813163106819,0.163813163106819,FALSE
"Setting I","tighter_small","difference","psi1","Q3_A1 - Q2_A1",0.03,0.0111868368931811,-0.0188131631068189,FALSE
"Setting I","tighter_small","coefficient","psi2","Q3_A3",-0.5,-0.449999999999997,0.0500000000000029,FALSE
"Setting I","tighter_small","coefficient","psi2","Q2_A2",-0.54,-0.448542733635241,0.0914572663647592,FALSE
"Setting I","tighter_small","difference","psi2","Q3_A3 - Q2_A2",0.04,-0.00145726636475624,-0.0414572663647563,FALSE
"Setting I","tighter_small","coefficient","psi3","Q3_A1A3",0.7,0.599999999999999,-0.100000000000001,FALSE
"Setting I","tighter_small","coefficient","psi3","Q2_A1A2",0.66,0.734205603956252,0.0742056039562518,FALSE
"Setting I","tighter_small","difference","psi3","Q3_A1A3 - Q2_A1A2",0.04,-0.134205603956253,-0.174205603956253,FALSE
"Setting I","wider_small","coefficient","psi1","Q3_A1",0.29,0.3608728362613,0.0708728362612995,FALSE
"Setting I","wider_small","coefficient","psi1","Q2_A1",0.19,0.193392241514521,0.00339224151452136,TRUE
"Setting I","wider_small","difference","psi1","Q3_A1 - Q2_A1",0.1,0.167480594746778,0.0674805947467782,FALSE
"Setting I","wider_small","coefficient","psi2","Q3_A3",-0.63,-0.409127163738696,0.220872836261304,FALSE
"Setting I","wider_small","coefficient","psi2","Q2_A2",-0.73,-0.409127163738698,0.320872836261302,FALSE
"Setting I","wider_small","difference","psi2","Q3_A3 - Q2_A2",0.1,2.27595720048157e-15,-0.0999999999999978,FALSE
"Setting I","wider_small","coefficient","psi3","Q3_A1A3",0.97,0.559127163738699,-0.410872836261301,FALSE
"Setting I","wider_small","coefficient","psi3","Q2_A1A2",0.87,0.621856069395826,-0.248143930604174,FALSE
"Setting I","wider_small","difference","psi3","Q3_A1A3 - Q2_A1A2",0.1,-0.0627289056571275,-0.162728905657128,FALSE
