"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"Setting1",100,"results_100.rds","evaluation_1","M",0.8939,0.182750592049581,200
"Setting1",100,"results_100.rds","evaluation_1","M_weighted",0.95169452994617,0.0862955384734815,200
"Setting1",100,"results_100.rds","evaluation_1","A3_bias",-0.0153309780277765,0.156432810278943,200
"Setting1",100,"results_100.rds","evaluation_1","A2_bias_1",0.0251144047468305,0.193771621782015,200
"Setting1",100,"results_100.rds","evaluation_1","A2_bias_2",0.0707607736348,0.202302861175659,200
"Setting1",100,"results_100.rds","evaluation_1","A1_bias_1",0.0266116135473157,0.164355553468196,200
"Setting1",100,"results_100.rds","evaluation_1","A1_bias_2",-0.0502588681649109,0.210021578542549,200
"Setting1",100,"results_100.rds","evaluation_1","A1_bias_3",0.0100301396350627,0.16743558518836,200
"Setting1",100,"results_100.rds","evaluation_1","A1A3_bias",0.00346349643456396,0.120784899157044,200
"Setting1",100,"results_100.rds","evaluation_1","A1A2_bias_1",0.0367053961418214,0.164750550521889,200
"Setting1",100,"results_100.rds","evaluation_1","A1A2_bias_2",-0.0344024519782853,0.198594642431407,200
"Setting1",100,"results_100.rds","evaluation_2","M",0.90955,0.144904395791149,200
"Setting1",100,"results_100.rds","evaluation_2","M_weighted",0.959692823115027,0.0634533738967591,200
"Setting1",100,"results_100.rds","evaluation_2","A3_bias",0.00471921861993537,0.152136778820238,200
"Setting1",100,"results_100.rds","evaluation_2","A2_bias_1",0.0200076772944717,0.19513331518202,200
"Setting1",100,"results_100.rds","evaluation_2","A2_bias_2",0.049639649804097,0.18500490619077,200
"Setting1",100,"results_100.rds","evaluation_2","A1_bias_1",-0.0177979431362738,0.161697096473946,200
"Setting1",100,"results_100.rds","evaluation_2","A1_bias_2",0.0021823739244214,0.187918621402935,200
"Setting1",100,"results_100.rds","evaluation_2","A1_bias_3",-0.000599790891894915,0.162119494326665,200
"Setting1",100,"results_100.rds","evaluation_2","A1A3_bias",0.0114855882733976,0.120964285236564,200
"Setting1",100,"results_100.rds","evaluation_2","A1A2_bias_1",0.00720479355737676,0.161808035965719,200
"Setting1",100,"results_100.rds","evaluation_2","A1A2_bias_2",-0.0392609348728225,0.171853362258082,200
"Setting1",100,"results_100.rds","evaluation_2_mis","M",0.85475,0.252048765920427,200
"Setting1",100,"results_100.rds","evaluation_2_mis","M_weighted",0.933485535818734,0.118424655401,200
"Setting1",100,"results_100.rds","evaluation_2_mis","A3_bias",-0.00658149523754857,0.153093731268105,200
