"setting","spec","check_type","group","item","target","calibrated","error","pass"
"Setting II","separated_moderate","coefficient","psi1","Q3_A1",0.55,0.579847976105556,0.0298479761055556,TRUE
"Setting II","separated_moderate","coefficient","psi1","Q2_A1",-0.15,-0.12175428821489,0.0282457117851097,TRUE
"Setting II","separated_moderate","difference","psi1","Q3_A1 - Q2_A1",0.7,0.701602264320446,0.00160226432044586,TRUE
"Setting II","separated_moderate","coefficient","psi2","Q3_A3",-0.7,-0.670227313438334,0.0297726865616657,TRUE
"Setting II","separated_moderate","coefficient","psi2","Q2_A2",0.45,0.451979370621228,0.00197937062122805,TRUE
"Setting II","separated_moderate","difference","psi2","Q3_A3 - Q2_A2",-1.15,-1.12220668405956,0.0277933159404375,TRUE
"Setting II","separated_moderate","coefficient","psi3","Q3_A1A3",0.95,0.950455238103788,0.000455238103788447,TRUE
"Setting II","separated_moderate","coefficient","psi3","Q2_A1A2",-0.35,-0.348577992295867,0.00142200770413264,TRUE
"Setting II","separated_moderate","difference","psi3","Q3_A1A3 - Q2_A1A2",1.3,1.29903323039966,-0.000966769600344142,TRUE
"Setting II","separated_reversed","coefficient","psi1","Q3_A1",-0.5,-0.267267127019729,0.232732872980271,FALSE
"Setting II","separated_reversed","coefficient","psi1","Q2_A1",0.3,0.299999999999999,-1.11022302462516e-15,TRUE
"Setting II","separated_reversed","difference","psi1","Q3_A1 - Q2_A1",-0.8,-0.567267127019728,0.232732872980272,FALSE
"Setting II","separated_reversed","coefficient","psi2","Q3_A3",0.65,0.417267127019732,-0.232732872980268,FALSE
"Setting II","separated_reversed","coefficient","psi2","Q2_A2",-0.45,-0.682732872980274,-0.232732872980274,FALSE
"Setting II","separated_reversed","difference","psi2","Q3_A3 - Q2_A2",1.1,1.10000000000001,6.21724893790088e-15,TRUE
"Setting II","separated_reversed","coefficient","psi3","Q3_A1A3",-0.85,-1.08273287298027,-0.23273287298027,FALSE
"Setting II","separated_reversed","coefficient","psi3","Q2_A1A2",0.45,0.449358257603755,-0.000641742396244704,TRUE
"Setting II","separated_reversed","difference","psi3","Q3_A1A3 - Q2_A1A2",-1.3,-1.53209113058403,-0.232091130584025,FALSE
"Setting II","separated_large","coefficient","psi1","Q3_A1",0.75,0.330811271343205,-0.419188728656795,FALSE
"Setting II","separated_large","coefficient","psi1","Q2_A1",-0.35,-0.252124040563668,0.097875959436332,FALSE
"Setting II","separated_large","difference","psi1","Q3_A1 - Q2_A1",1.1,0.582935311906873,-0.517064688093127,FALSE
"Setting II","separated_large","coefficient","psi2","Q3_A3",-0.9,-0.382935311906871,0.517064688093129,FALSE
"Setting II","separated_large","coefficient","psi2","Q2_A2",0.65,0.65000000000003,2.97539770599542e-14,TRUE
"Setting II","separated_large","difference","psi2","Q3_A3 - Q2_A2",-1.55,-1.0329353119069,0.5170646880931,FALSE
"Setting II","separated_large","coefficient","psi3","Q3_A1A3",1.15,0.632935311906869,-0.517064688093131,FALSE
"Setting II","separated_large","coefficient","psi3","Q2_A1A2",-0.55,-0.595930440500112,-0.0459304405001121,FALSE
"Setting II","separated_large","difference","psi3","Q3_A1A3 - Q2_A1A2",1.7,1.22886575240698,-0.471134247593019,FALSE
