"n","method","allocation_matching","weighted_allocation_matching","a_ff_match","mean_abs_bias","non_null_reps"
100,"Q learning",0.4217,0.80035,0.8317,0.01963878730254,200
100,"SQ learning (L1 penalty)",0.42505,0.802541666666667,0.83455,0.0186479786838129,200
100,"Q shared",0.3824,0.788625,0.81355,0.0181077390021423,200
100,"SQ learning (L2 penalty)",0.43815,0.805983333333333,0.8346,0.018583565727422,200
300,"Q learning",0.7704,0.929811111111111,0.936633333333333,0.00670625245111534,200
300,"SQ learning (L1 penalty)",0.781416666666667,0.932386111111111,0.94415,0.00700496184798521,200
300,"Q shared",0.764733333333333,0.926761111111111,0.943666666666667,0.00731200945887813,200
300,"SQ learning (L2 penalty)",0.77775,0.931113888888889,0.94235,0.00684840482696028,200
500,"Q learning",0.86397,0.959368333333333,0.96411,0.00666649001916081,200
500,"SQ learning (L1 penalty)",0.87401,0.961513333333333,0.97184,0.00702516531561983,200
500,"Q shared",0.87006,0.960308333333333,0.97123,0.00725809563205417,200
500,"SQ learning (L2 penalty)",0.87009,0.960826666666667,0.96772,0.0066613739331614,200
1000,"Q learning",0.955525,0.986933333333333,0.98912,0.00425879492854692,200
1000,"SQ learning (L1 penalty)",0.9557,0.986969166666667,0.989335,0.00504618835478142,200
1000,"Q shared",0.955655,0.986961666666667,0.98929,0.00549004233481367,200
1000,"SQ learning (L2 penalty)",0.955805,0.9869825,0.989415,0.00429208035732559,200
