"setting","spec","check_type","group","item","target","calibrated","error","pass"
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi0","Q3_A3",-0.75,-0.72,0.0299999999999999,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi0","Q2_A2",0.35,0.379999999124674,0.0299999991246737,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi0","Q1_A1",0.9,0.900000002237022,2.23702234514178e-09,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi0","Q3_A3 - Q2_A2",-1.1,-1.09999999912467,8.75326255922459e-10,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi0","Q3_A3 - Q1_A1",-1.65,-1.62000000223702,0.0299999977629775,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi0","Q2_A2 - Q1_A1",-0.55,-0.520000003112349,0.0299999968876514,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi1","Q3_O3A3",0.7,0.7,-3.33066907387547e-16,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi1","Q2_O2A2",-0.35,-0.320000000433118,0.0299999995668818,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi1","Q1_O1A1",0.15,0.149999998813721,-1.18627854761577e-09,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi1","Q3_O3A3 - Q2_O2A2",1.05,1.02000000043312,-0.029999999566882,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi1","Q3_O3A3 - Q1_O1A1",0.55,0.550000001186278,1.18627829781559e-09,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi1","Q2_O2A2 - Q1_O1A1",-0.5,-0.46999999924684,0.0300000007531604,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi2","Q3_A2A3",-0.6,-0.6,0,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi2","Q2_A1A2",0.55,0.519999997800141,-0.0300000021998591,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi2","Q3_A2A3 - Q2_A1A2",-1.15,-1.11999999780014,0.030000002199859,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi3","Q3_A1A2A3",0.45,0.42,-0.0299999999999999,TRUE
