"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","M",0.38665,0.242097778120441,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","M_weighted",0.790075,0.0950587254941596,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","A_source_match",0.9214,0.189527420749823,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","A_outcome_match",0.82865,0.21353845287037,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","A_story_match",0.7739,0.232175185114419,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","A_efficacy_match",0.74085,0.280949176362011,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","A_multiple_match",0.5577,0.169372801029691,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","A_FF_match",0.91795,0.0754437292384664,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_intercept_bias",0.00525423494572196,0.175362377181723,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_PQQuit_bias",-0.00652409568715503,0.17141387424014,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_PQSE_bias",-0.00307316370776889,0.158080849970669,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_PQMotiv_bias",0.000505672814056576,0.15976064662085,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_LowEducation_bias",0.00768079157551854,0.189574244381818,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_A_FF_bias",-0.00902729466564664,0.169130479943274,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_PQQuit_A_FF_bias",-0.0119096175797812,0.161374791376596,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_PQSE_A_FF_bias",0.00629988835987436,0.15688027767672,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_PQMotiv_A_FF_bias",0.015024729563569,0.162889149124928,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q2_LowEducation_A_FF_bias",-0.00234843663268642,0.160861861080205,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q1_intercept_bias",0.0186213209651052,0.20793298902128,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q1_QuitSE_bias",0.000545240949255467,0.234116422605738,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q1_QuitMotiv_bias",-0.00323984400756336,0.228683521620098,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q1_LowEducation_bias",-0.0112172445309556,0.291734079989766,200
"SupplSetting4_NoShared",100,"results_100.rds","evaluation_1","Q1_A_source_bias",-0.0148564235518381,0.112797188679568,200
