"setting","n","method","allocation_matching","weighted_allocation_matching","a_ff_match","mean_abs_bias"
"Suppl IV No Shared",100,"Q learning","0.387 (0.242)","0.790 (0.095)","0.918 (0.075)",0.146308255910489
"Suppl IV No Shared",100,"Q shared","0.097 (0.114)","0.644 (0.084)","0.754 (0.137)",0.23099314820603
"Suppl IV No Shared",100,"SQ learning (L1 penalty)","0.321 (0.233)","0.763 (0.097)","0.893 (0.080)",0.152462225709301
"Suppl IV No Shared",100,"SQ learning (L2 penalty)","0.314 (0.218)","0.761 (0.092)","0.892 (0.081)",0.146260800809801
"Suppl IV No Shared",300,"Q learning","0.601 (0.238)","0.868 (0.082)","0.974 (0.040)",0.0846080036240941
"Suppl IV No Shared",300,"Q shared","0.170 (0.115)","0.701 (0.066)","0.811 (0.071)",0.2047568943675
"Suppl IV No Shared",300,"SQ learning (L1 penalty)","0.500 (0.233)","0.833 (0.083)","0.960 (0.052)",0.0965314670864797
"Suppl IV No Shared",300,"SQ learning (L2 penalty)","0.469 (0.229)","0.821 (0.083)","0.956 (0.054)",0.0953629800373925
"Suppl IV No Shared",500,"Q learning","0.712 (0.209)","0.905 (0.072)","0.980 (0.036)",0.0633860480968314
"Suppl IV No Shared",500,"Q shared","0.199 (0.105)","0.719 (0.056)","0.823 (0.054)",0.19613902029022
"Suppl IV No Shared",500,"SQ learning (L1 penalty)","0.573 (0.218)","0.859 (0.076)","0.974 (0.043)",0.0787531256095479
"Suppl IV No Shared",500,"SQ learning (L2 penalty)","0.532 (0.208)","0.844 (0.074)","0.971 (0.045)",0.0797872260157779
"Suppl IV No Shared",1000,"Q learning","0.796 (0.163)","0.933 (0.055)","0.991 (0.018)",0.0441149436041996
"Suppl IV No Shared",1000,"Q shared","0.233 (0.085)","0.738 (0.041)","0.832 (0.027)",0.188349307384613
"Suppl IV No Shared",1000,"SQ learning (L1 penalty)","0.658 (0.176)","0.887 (0.059)","0.990 (0.022)",0.0643881119141076
"Suppl IV No Shared",1000,"SQ learning (L2 penalty)","0.621 (0.170)","0.875 (0.057)","0.989 (0.024)",0.0678326923556406
