"setting","n","method","true_positives","false_positives"
"II",100,"SQ learning (L1 penalty)","","0.035 (0.184)"
"II",100,"Misspecified SQ learning (L1 penalty)","","0.460 (0.820)"
"II",300,"SQ learning (L1 penalty)","","0.000 (0.000)"
"II",300,"Misspecified SQ learning (L1 penalty)","","0.550 (0.528)"
"II",500,"SQ learning (L1 penalty)","","0.000 (0.000)"
"II",500,"Misspecified SQ learning (L1 penalty)","","0.655 (0.477)"
"II",1000,"SQ learning (L1 penalty)","","0.000 (0.000)"
"II",1000,"Misspecified SQ learning (L1 penalty)","","0.845 (0.363)"
"III",100,"SQ learning (L1 penalty)","0.000 (0.000)",""
"III",300,"SQ learning (L1 penalty)","0.000 (0.000)",""
"III",500,"SQ learning (L1 penalty)","0.000 (0.000)",""
"III",1000,"SQ learning (L1 penalty)","0.000 (0.000)",""
"Suppl III No Shared",100,"SQ learning (L1 penalty)","","0.000 (0.000)"
"Suppl III No Shared",300,"SQ learning (L1 penalty)","","0.000 (0.000)"
"Suppl III No Shared",500,"SQ learning (L1 penalty)","","0.000 (0.000)"
"Suppl III No Shared",1000,"SQ learning (L1 penalty)","","0.000 (0.000)"
"IV",100,"SQ learning (L1 penalty)","0.000 (0.000)",""
"IV",300,"SQ learning (L1 penalty)","0.000 (0.000)",""
"IV",500,"SQ learning (L1 penalty)","0.000 (0.000)",""
"IV",1000,"SQ learning (L1 penalty)","0.000 (0.000)",""
"Suppl IV No Shared",100,"SQ learning (L1 penalty)","","0.000 (0.000)"
"Suppl IV No Shared",300,"SQ learning (L1 penalty)","","0.000 (0.000)"
"Suppl IV No Shared",500,"SQ learning (L1 penalty)","","0.000 (0.000)"
"Suppl IV No Shared",1000,"SQ learning (L1 penalty)","","0.000 (0.000)"
