"setting","n","method","allocation_matching","weighted_allocation_matching","bias_a3"
"I",100,"Q learning","0.907 (0.133)","0.958 (0.062)","-0.004 (0.142)"
"I",100,"Q shared","0.924 (0.126)","0.966 (0.057)","0.019 (0.141)"
"I",100,"Misspecified Q shared","0.558 (0.457)","0.794 (0.216)","0.019 (0.145)"
"I",100,"SQ learning (L1 penalty)","0.917 (0.112)","0.963 (0.050)","-0.016 (0.136)"
"I",100,"Misspecified SQ learning (L1 penalty)","0.896 (0.160)","0.953 (0.073)","-0.011 (0.137)"
"I",100,"SQ learning (L2 penalty)","0.914 (0.113)","0.961 (0.051)","-0.015 (0.136)"
"I",100,"Misspecified SQ learning (L2 penalty)","0.902 (0.147)","0.956 (0.068)","-0.012 (0.141)"
"I",300,"Q learning","0.940 (0.073)","0.973 (0.033)","0.006 (0.076)"
"I",300,"Q shared","0.962 (0.047)","0.983 (0.021)","0.019 (0.089)"
"I",300,"Misspecified Q shared","0.779 (0.375)","0.900 (0.170)","0.018 (0.089)"
"I",300,"SQ learning (L1 penalty)","0.947 (0.057)","0.976 (0.026)","-0.004 (0.078)"
"I",300,"Misspecified SQ learning (L1 penalty)","0.939 (0.070)","0.973 (0.031)","0.002 (0.073)"
"I",300,"SQ learning (L2 penalty)","0.944 (0.062)","0.975 (0.028)","-0.004 (0.076)"
"I",300,"Misspecified SQ learning (L2 penalty)","0.939 (0.071)","0.973 (0.032)","0.003 (0.073)"
"I",500,"Q learning","0.953 (0.064)","0.979 (0.028)","0.002 (0.067)"
"I",500,"Q shared","0.967 (0.048)","0.985 (0.021)","0.008 (0.072)"
"I",500,"Misspecified Q shared","0.810 (0.357)","0.914 (0.164)","0.007 (0.076)"
"I",500,"SQ learning (L1 penalty)","0.949 (0.055)","0.977 (0.025)","-0.013 (0.065)"
"I",500,"Misspecified SQ learning (L1 penalty)","0.952 (0.055)","0.978 (0.025)","-0.005 (0.065)"
"I",500,"SQ learning (L2 penalty)","0.951 (0.052)","0.978 (0.024)","-0.013 (0.065)"
"I",500,"Misspecified SQ learning (L2 penalty)","0.955 (0.059)","0.980 (0.026)","0.001 (0.066)"
"I",1000,"Q learning","0.953 (0.047)","0.979 (0.021)","0.001 (0.046)"
"I",1000,"Q shared","0.963 (0.045)","0.984 (0.020)","0.009 (0.050)"
"I",1000,"Misspecified Q shared","0.897 (0.250)","0.952 (0.118)","0.008 (0.052)"
"I",1000,"SQ learning (L1 penalty)","0.950 (0.048)","0.977 (0.022)","-0.005 (0.047)"
"I",1000,"Misspecified SQ learning (L1 penalty)","0.949 (0.048)","0.977 (0.022)","-0.002 (0.046)"
"I",1000,"SQ learning (L2 penalty)","0.948 (0.048)","0.977 (0.022)","-0.005 (0.047)"
"I",1000,"Misspecified SQ learning (L2 penalty)","0.954 (0.047)","0.979 (0.021)","0.001 (0.046)"
